"Time","Download","Upload"
"02/21/2021 00:00:38","32.75","14.65"
"02/21/2021 00:05:26","33.55","15.64"
"02/21/2021 00:10:25","37.84","17.36"
"02/21/2021 00:15:36","36.85","17.42"
"02/21/2021 00:20:31","31.85","17.36"
"02/21/2021 00:25:32","36.46","16.56"
"02/21/2021 00:30:27","33.64","16.19"
"02/21/2021 00:35:28","37.34","15.99"
"02/21/2021 00:40:41","30.53","11.18"
"02/21/2021 00:45:31","32.98","15.49"
"02/21/2021 00:50:34","33.85","17.87"
"02/21/2021 00:55:28","30.28","17.43"
"02/21/2021 01:00:34","38.17","16.59"
"02/21/2021 01:05:23","34.58","17.50"
"02/21/2021 01:10:26","39.83","17.43"
"02/21/2021 01:15:36","38.29","17.07"
"02/21/2021 01:20:21","34.79","17.42"
"02/21/2021 01:25:25","39.64","17.45"
"02/21/2021 01:30:29","36.63","17.60"
"02/21/2021 01:35:28","38.42","17.74"
"02/21/2021 01:40:25","39.09","17.70"
"02/21/2021 01:45:24","38.74","16.94"
"02/21/2021 01:50:25","38.06","17.21"
"02/21/2021 01:55:28","24.62","17.66"
"02/21/2021 02:00:30","29.49","13.99"
"02/21/2021 02:05:37","37.37","15.33"
"02/21/2021 02:10:26","31.92","15.10"
"02/21/2021 02:15:36","30.45","14.77"
"02/21/2021 02:20:20","36.28","17.87"
"02/21/2021 02:25:36","30.70","15.40"
"02/21/2021 02:30:32","35.06","15.09"
"02/21/2021 02:35:39","21.72","14.28"
"02/21/2021 02:40:24","36.08","17.72"
"02/21/2021 02:45:30","32.90","16.00"
"02/21/2021 02:50:36","33.80","14.29"
"02/21/2021 02:55:29","32.00","10.66"
"02/21/2021 03:00:34","29.59","11.30"
"02/21/2021 03:05:22","37.56","17.15"
"02/21/2021 03:10:21","38.80","18.39"
"02/21/2021 03:15:33","30.14","18.68"
"02/21/2021 03:20:39","21.49","14.97"
"02/21/2021 03:25:27","37.33","18.33"
"02/21/2021 03:30:32","23.42","12.82"
