"Time","Download","Upload"
"03/31/2021 00:00:39","73.75","18.25"
"03/31/2021 00:05:42","74.82","18.84"
"03/31/2021 00:10:37","74.86","18.69"
"03/31/2021 00:15:41","74.90","18.71"
"03/31/2021 00:20:43","75.00","18.70"
"03/31/2021 00:25:41","74.95","18.71"
"03/31/2021 00:30:38","73.83","18.42"
"03/31/2021 00:35:37","73.43","18.71"
"03/31/2021 00:40:39","74.94","18.70"
"03/31/2021 00:45:37","74.91","18.69"
"03/31/2021 00:50:39","73.89","18.43"
"03/31/2021 00:55:38","74.77","18.70"
"03/31/2021 01:00:41","75.13","18.77"
"03/31/2021 01:05:55","74.08","18.76"
"03/31/2021 01:10:35","74.81","18.68"
"03/31/2021 01:15:34","74.53","18.66"
"03/31/2021 01:20:37","73.79","18.41"
"03/31/2021 01:25:37","74.77","18.67"
"03/31/2021 01:30:38","74.44","18.97"
"03/31/2021 01:35:40","75.32","18.69"
"03/31/2021 01:40:39","75.12","19.24"
"03/31/2021 01:45:42","73.98","18.43"
"03/31/2021 01:50:37","73.42","18.42"
"03/31/2021 01:55:38","74.02","18.27"
"03/31/2021 02:00:38","75.01","18.67"
"03/31/2021 02:05:40","75.06","18.65"
"03/31/2021 02:10:35","74.97","18.69"
"03/31/2021 02:15:41","74.82","18.86"
"03/31/2021 02:20:39","75.26","18.69"
"03/31/2021 02:25:36","75.21","18.69"
"03/31/2021 02:30:37","73.92","18.41"
"03/31/2021 02:35:38","75.04","18.69"
"03/31/2021 02:40:35","73.80","18.43"
"03/31/2021 02:45:41","73.86","18.42"
"03/31/2021 02:50:36","75.20","18.67"
"03/31/2021 02:55:37","73.75","18.42"
"03/31/2021 03:00:38","75.22","18.68"
"03/31/2021 03:05:41","73.87","18.44"
"03/31/2021 03:10:34","73.47","18.43"
"03/31/2021 03:15:38","75.07","18.69"
"03/31/2021 03:20:40","74.18","18.43"
"03/31/2021 03:25:39","74.53","18.69"
"03/31/2021 03:30:59","74.85","18.47"
"03/31/2021 03:35:45","74.77","18.68"
"03/31/2021 03:40:41","75.08","18.71"
"03/31/2021 03:45:35","75.04","18.69"
"03/31/2021 03:50:36","74.09","18.39"
"03/31/2021 03:55:38","73.63","18.44"
"03/31/2021 04:00:38","75.05","18.71"
"03/31/2021 04:05:35","75.05","18.70"
"03/31/2021 04:10:44","75.19","18.69"
"03/31/2021 04:15:39","75.04","18.65"
"03/31/2021 04:20:51","75.04","18.50"
"03/31/2021 04:25:35","75.08","18.67"
"03/31/2021 04:30:39","74.98","18.70"
"03/31/2021 04:35:37","75.09","19.04"
"03/31/2021 04:40:41","73.92","18.44"
"03/31/2021 04:45:38","74.69","18.89"
"03/31/2021 04:50:33","74.78","18.60"
"03/31/2021 04:55:33","75.15","18.70"
"03/31/2021 05:00:36","74.54","18.71"
"03/31/2021 05:05:38","74.97","18.70"
"03/31/2021 05:10:37","73.68","18.44"
"03/31/2021 05:15:35","74.86","18.10"
"03/31/2021 05:20:39","74.90","18.68"
"03/31/2021 05:25:39","73.95","18.41"
"03/31/2021 05:30:36","74.97","18.70"
"03/31/2021 05:35:36","74.81","18.68"
"03/31/2021 05:40:37","75.07","18.40"
"03/31/2021 05:45:41","74.00","18.44"
"03/31/2021 05:50:37","74.78","18.70"
"03/31/2021 05:55:40","73.89","18.42"
"03/31/2021 06:00:39","74.81","18.71"
"03/31/2021 06:05:35","74.83","18.71"
"03/31/2021 06:10:34","75.19","18.71"
"03/31/2021 06:15:35","74.94","18.66"
"03/31/2021 06:20:37","74.89","18.37"
"03/31/2021 06:25:38","73.76","18.44"
"03/31/2021 06:30:36","74.86","18.70"
"03/31/2021 06:35:40","74.99","18.95"
"03/31/2021 06:40:41","73.81","18.45"
"03/31/2021 06:45:43","75.11","18.97"
"03/31/2021 06:50:37","74.69","18.70"
"03/31/2021 06:55:39","75.16","18.69"
"03/31/2021 07:00:33","74.87","18.67"
"03/31/2021 07:05:37","73.92","18.41"
"03/31/2021 07:10:52","74.93","18.88"
"03/31/2021 07:15:39","74.89","18.69"
"03/31/2021 07:20:38","74.54","18.67"
"03/31/2021 07:25:39","74.77","18.70"
"03/31/2021 07:30:36","75.20","18.70"
"03/31/2021 07:35:37","74.62","18.67"
"03/31/2021 07:40:38","75.14","18.95"
"03/31/2021 07:45:41","74.56","18.99"
"03/31/2021 07:50:36","74.73","18.64"
"03/31/2021 07:55:38","73.83","18.44"
"03/31/2021 08:00:41","74.97","18.68"
"03/31/2021 08:05:42","74.96","18.96"
"03/31/2021 08:10:36","74.89","18.11"
"03/31/2021 08:15:40","75.17","18.65"
"03/31/2021 08:20:36","75.13","18.70"
"03/31/2021 08:25:38","73.65","18.41"
"03/31/2021 08:30:38","73.43","18.43"
"03/31/2021 08:35:39","74.02","18.40"
"03/31/2021 08:40:36","74.66","18.69"
"03/31/2021 08:45:37","74.66","18.55"
"03/31/2021 08:50:37","75.08","18.70"
"03/31/2021 08:55:38","74.86","18.54"
"03/31/2021 09:00:37","74.32","18.75"
"03/31/2021 09:05:37","74.08","18.40"
"03/31/2021 09:10:35","70.06","17.95"
"03/31/2021 09:15:36","74.12","18.08"
"03/31/2021 09:20:34","74.47","18.00"
"03/31/2021 09:25:38","73.70","18.40"
"03/31/2021 09:30:35","73.37","18.41"
"03/31/2021 09:35:38","74.89","18.65"
"03/31/2021 09:40:39","69.62","18.39"
"03/31/2021 09:45:49","73.62","18.37"
"03/31/2021 09:50:41","75.05","18.66"
"03/31/2021 09:55:36","74.92","18.62"
"03/31/2021 10:00:38","73.87","18.41"
"03/31/2021 10:05:36","74.70","18.63"
"03/31/2021 10:10:40","74.65","18.61"
"03/31/2021 10:15:56","74.88","18.58"
"03/31/2021 10:20:35","73.80","18.29"
