"Time","Download","Upload"
"03/30/2021 00:00:39","73.92","18.38"
"03/30/2021 00:05:38","73.81","18.39"
"03/30/2021 00:10:40","73.71","18.73"
"03/30/2021 00:15:36","73.02","18.38"
"03/30/2021 00:20:43","74.09","18.75"
"03/30/2021 00:25:39","73.97","18.41"
"03/30/2021 00:30:40","74.92","19.04"
"03/30/2021 00:35:38","74.11","18.43"
"03/30/2021 00:40:39","73.65","18.43"
"03/30/2021 00:45:41","74.98","18.55"
"03/30/2021 00:50:36","73.90","18.44"
"03/30/2021 00:55:39","73.82","18.38"
"03/30/2021 01:00:39","73.83","18.40"
"03/30/2021 01:05:41","73.85","18.37"
"03/30/2021 01:10:44","73.95","18.22"
"03/30/2021 01:15:40","73.93","18.31"
"03/30/2021 01:20:36","73.58","18.43"
"03/30/2021 01:25:40","73.69","18.42"
"03/30/2021 01:30:42","74.98","18.65"
"03/30/2021 01:35:40","74.07","18.36"
"03/30/2021 01:40:38","74.05","18.42"
"03/30/2021 01:45:38","73.98","18.42"
"03/30/2021 01:50:38","73.87","18.44"
"03/30/2021 01:55:38","73.96","18.42"
"03/30/2021 02:00:39","73.81","18.42"
"03/30/2021 02:05:38","73.89","18.42"
"03/30/2021 02:10:39","73.84","18.41"
"03/30/2021 02:15:36","73.96","18.44"
"03/30/2021 02:20:38","74.08","18.38"
"03/30/2021 02:25:39","73.64","18.41"
"03/30/2021 02:30:42","74.06","18.46"
"03/30/2021 02:35:38","73.83","18.24"
"03/30/2021 02:40:38","73.95","18.43"
"03/30/2021 02:45:37","73.94","18.42"
"03/30/2021 02:50:42","73.91","18.80"
"03/30/2021 02:55:35","73.89","18.44"
"03/30/2021 03:00:45","74.19","18.43"
"03/30/2021 03:05:52","73.83","18.41"
"03/30/2021 03:10:39","73.98","18.87"
"03/30/2021 03:15:36","74.04","18.55"
"03/30/2021 03:20:32","73.54","18.01"
"03/30/2021 03:25:38","73.77","18.42"
"03/30/2021 03:30:39","73.95","18.42"
"03/30/2021 03:35:40","73.96","18.37"
"03/30/2021 03:40:38","73.65","18.39"
"03/30/2021 03:45:39","73.66","18.29"
"03/30/2021 03:50:35","73.89","18.42"
"03/30/2021 03:55:36","75.08","18.70"
"03/30/2021 04:00:37","73.58","18.50"
"03/30/2021 04:05:35","73.52","18.42"
"03/30/2021 04:10:37","73.77","18.62"
"03/30/2021 04:16:19","73.87","18.39"
"03/30/2021 04:20:54","73.95","18.53"
"03/30/2021 04:25:43","73.93","18.81"
"03/30/2021 04:30:41","71.69","18.44"
"03/30/2021 04:35:44","73.80","18.43"
"03/30/2021 04:40:45","74.82","19.06"
"03/30/2021 04:45:39","73.80","18.43"
"03/30/2021 04:50:40","74.86","18.64"
"03/30/2021 04:55:38","72.33","18.42"
"03/30/2021 05:00:44","73.92","18.76"
"03/30/2021 05:05:39","74.94","19.10"
"03/30/2021 05:10:40","74.95","18.69"
"03/30/2021 05:15:44","74.03","18.44"
"03/30/2021 05:20:42","73.66","18.42"
"03/30/2021 05:25:38","73.94","18.44"
"03/30/2021 05:30:54","73.91","18.41"
"03/30/2021 05:35:42","73.82","18.93"
"03/30/2021 05:40:40","70.59","18.48"
"03/30/2021 05:45:39","74.00","18.44"
"03/30/2021 05:50:39","73.61","18.46"
"03/30/2021 05:55:40","73.85","18.44"
"03/30/2021 06:00:47","73.61","18.42"
"03/30/2021 06:05:41","73.70","18.51"
"03/30/2021 06:10:38","74.60","18.68"
"03/30/2021 06:15:41","73.80","18.49"
"03/30/2021 06:20:39","74.07","18.39"
"03/30/2021 06:25:37","73.80","18.42"
"03/30/2021 06:30:38","73.91","18.44"
"03/30/2021 06:35:35","73.96","18.44"
"03/30/2021 06:40:39","73.15","18.44"
"03/30/2021 06:45:40","74.04","18.43"
"03/30/2021 06:50:42","71.31","18.44"
"03/30/2021 06:55:41","73.90","18.41"
"03/30/2021 07:00:41","73.26","18.44"
"03/30/2021 07:05:38","74.10","18.43"
"03/30/2021 07:10:36","73.34","18.43"
"03/30/2021 07:15:37","74.86","18.95"
"03/30/2021 07:20:43","74.00","18.44"
"03/30/2021 07:25:41","73.67","18.42"
"03/30/2021 07:30:39","73.67","18.44"
"03/30/2021 07:35:44","74.96","18.70"
"03/30/2021 07:40:41","73.84","18.76"
"03/30/2021 07:45:39","74.93","18.70"
"03/30/2021 07:50:36","74.74","18.69"
"03/30/2021 07:55:43","73.39","17.69"
"03/30/2021 08:00:38","73.99","18.44"
"03/30/2021 08:05:40","73.68","18.44"
"03/30/2021 08:10:40","74.22","18.52"
"03/30/2021 08:15:39","73.89","18.09"
"03/30/2021 08:20:37","74.09","18.34"
"03/30/2021 08:25:42","74.10","18.53"
"03/30/2021 08:30:37","73.65","18.24"
"03/30/2021 08:35:39","73.91","17.84"
"03/30/2021 08:40:40","72.16","18.41"
"03/30/2021 08:45:44","73.73","18.44"
"03/30/2021 08:50:36","73.90","18.08"
"03/30/2021 08:55:35","73.76","18.42"
"03/30/2021 09:00:37","74.42","18.67"
"03/30/2021 09:05:40","73.98","18.42"
"03/30/2021 09:10:38","73.71","18.42"
"03/30/2021 09:15:45","72.48","18.32"
"03/30/2021 09:20:44","73.94","18.71"
"03/30/2021 09:25:37","74.90","18.70"
"03/30/2021 09:30:46","73.45","17.76"
"03/30/2021 09:35:40","74.08","18.20"
"03/30/2021 09:40:37","73.75","18.02"
"03/30/2021 09:45:38","73.68","18.10"
"03/30/2021 09:50:35","73.88","18.10"
"03/30/2021 09:55:37","74.37","18.42"
"03/30/2021 10:00:45","73.75","18.42"
"03/30/2021 10:05:36","73.94","18.25"
"03/30/2021 10:10:40","74.78","18.69"
"03/30/2021 10:15:59","74.22","18.37"
"03/30/2021 10:20:44","63.08","18.68"
"03/30/2021 10:25:44","75.01","18.70"
"03/30/2021 10:30:39","73.86","18.41"
"03/30/2021 10:35:39","74.39","18.61"
"03/30/2021 10:40:40","74.86","18.68"
"03/30/2021 10:45:39","72.51","18.34"
"03/30/2021 10:50:35","70.31","18.44"
"03/30/2021 10:55:38","74.75","18.66"
"03/30/2021 11:00:43","73.83","18.39"
"03/30/2021 11:05:41","73.12","17.42"
"03/30/2021 11:10:37","73.66","18.34"
"03/30/2021 11:15:37","71.77","18.38"
"03/30/2021 11:20:43","75.15","18.36"
"03/30/2021 11:25:36","73.86","18.43"
"03/30/2021 11:30:37","74.77","18.69"
"03/30/2021 11:35:37","72.97","18.62"
"03/30/2021 11:40:41","72.82","18.41"
"03/30/2021 11:45:52","75.18","18.68"
"03/30/2021 11:50:51","74.18","18.97"
"03/30/2021 11:55:35","74.41","18.68"
"03/30/2021 12:00:39","72.95","18.41"
"03/30/2021 12:05:40","73.74","18.34"
"03/30/2021 12:10:38","75.06","18.63"
"03/30/2021 12:15:44","73.86","18.33"
"03/30/2021 12:20:41","73.74","18.32"
"03/30/2021 12:25:42","74.13","18.29"
"03/30/2021 12:30:39","75.08","18.66"
"03/30/2021 12:35:39","72.90","18.57"
"03/30/2021 12:40:38","75.05","18.68"
"03/30/2021 12:45:36","74.88","18.52"
"03/30/2021 12:50:41","75.25","18.70"
"03/30/2021 12:55:40","74.95","18.64"
"03/30/2021 13:00:34","74.68","18.67"
"03/30/2021 13:05:37","74.58","18.90"
"03/30/2021 13:10:39","75.05","18.58"
"03/30/2021 13:15:39","74.88","18.70"
"03/30/2021 13:20:36","75.00","18.69"
"03/30/2021 13:25:37","74.62","17.12"
"03/30/2021 13:30:48","71.77","16.71"
"03/30/2021 13:35:55","37.69","16.97"
"03/30/2021 13:40:34","72.98","17.04"
"03/30/2021 13:45:38","74.96","18.70"
"03/30/2021 13:50:38","73.84","18.40"
"03/30/2021 13:55:34","74.77","18.68"
"03/30/2021 14:00:45","73.80","18.65"
"03/30/2021 14:05:35","74.83","18.69"
"03/30/2021 14:10:41","73.75","17.87"
"03/30/2021 14:15:36","74.14","18.35"
"03/30/2021 14:20:45","72.94","18.21"
