"Time","Download","Upload"
"02/23/2021 00:00:38","21.66","14.15"
"02/23/2021 00:05:29","30.26","13.63"
"02/23/2021 00:10:22","42.10","18.40"
"02/23/2021 00:15:24","42.71","18.40"
"02/23/2021 00:20:19","45.08","18.44"
"02/23/2021 00:25:23","41.38","18.96"
"02/23/2021 00:30:20","39.37","18.40"
"02/23/2021 00:35:27","42.73","18.39"
"02/23/2021 00:40:33","43.37","12.28"
"02/23/2021 00:45:23","37.35","18.38"
"02/23/2021 00:50:21","41.14","17.98"
"02/23/2021 00:55:20","41.54","18.38"
"02/23/2021 01:00:19","40.55","18.38"
"02/23/2021 01:05:18","41.67","18.42"
"02/23/2021 01:10:19","40.75","18.93"
"02/23/2021 01:15:18","39.29","18.42"
"02/23/2021 01:20:23","43.24","18.69"
"02/23/2021 01:25:21","39.57","18.43"
"02/23/2021 01:30:23","38.37","18.40"
"02/23/2021 01:35:21","39.71","19.05"
"02/23/2021 01:40:22","35.66","18.42"
"02/23/2021 01:45:18","39.23","18.69"
"02/23/2021 01:50:18","39.01","18.34"
"02/23/2021 01:55:17","38.87","18.41"
"02/23/2021 02:00:22","41.80","18.66"
"02/23/2021 02:05:18","42.28","18.43"
"02/23/2021 02:10:25","43.20","18.81"
"02/23/2021 02:15:24","42.06","18.40"
"02/23/2021 02:20:19","42.85","18.42"
"02/23/2021 02:25:19","42.67","18.42"
"02/23/2021 02:30:20","41.40","18.39"
"02/23/2021 02:35:19","40.08","18.43"
"02/23/2021 02:40:25","39.98","19.20"
"02/23/2021 02:45:16","41.24","18.40"
"02/23/2021 02:50:21","42.17","18.44"
"02/23/2021 02:55:16","40.07","18.39"
"02/23/2021 03:00:24","38.94","18.67"
"02/23/2021 03:05:26","44.03","18.68"
"02/23/2021 03:10:26","44.05","18.59"
"02/23/2021 03:15:16","37.55","18.36"
"02/23/2021 03:20:26","43.40","18.34"
"02/23/2021 03:25:28","42.71","18.40"
"02/23/2021 03:30:19","37.37","18.39"
"02/23/2021 03:35:23","38.91","18.41"
"02/23/2021 03:40:21","39.10","18.37"
"02/23/2021 03:45:21","39.16","18.60"
"02/23/2021 03:50:25","43.85","18.34"
"02/23/2021 03:55:20","44.33","18.41"
"02/23/2021 04:00:25","38.82","18.39"
"02/23/2021 04:05:25","42.40","18.43"
"02/23/2021 04:10:27","42.90","18.39"
"02/23/2021 04:15:20","40.67","18.43"
"02/23/2021 04:20:16","42.08","18.68"
"02/23/2021 04:25:19","43.73","18.43"
"02/23/2021 04:30:17","40.84","18.41"
"02/23/2021 04:35:19","41.04","18.79"
"02/23/2021 04:40:19","41.08","19.05"
"02/23/2021 04:45:23","38.31","18.40"
"02/23/2021 04:50:23","40.12","18.43"
"02/23/2021 04:55:20","40.76","18.30"
"02/23/2021 05:00:18","40.55","18.41"
"02/23/2021 05:05:24","40.59","18.70"
"02/23/2021 05:10:24","39.94","18.77"
"02/23/2021 05:15:22","38.99","18.43"
"02/23/2021 05:20:17","40.63","18.66"
"02/23/2021 05:25:21","40.71","18.41"
"02/23/2021 05:30:21","40.89","18.53"
"02/23/2021 05:35:25","39.54","18.43"
"02/23/2021 05:40:22","42.62","18.37"
"02/23/2021 05:45:17","41.84","18.42"
"02/23/2021 05:50:22","41.18","18.65"
"02/23/2021 05:55:19","41.63","18.41"
"02/23/2021 06:00:18","41.85","18.42"
"02/23/2021 06:05:18","39.35","18.42"
"02/23/2021 06:10:23","40.78","18.85"
"02/23/2021 06:15:20","41.42","18.43"
"02/23/2021 06:20:21","39.10","18.43"
"02/23/2021 06:25:17","42.32","18.43"
"02/23/2021 06:30:23","37.89","18.82"
"02/23/2021 06:35:18","42.94","18.26"
"02/23/2021 06:40:24","40.40","18.44"
"02/23/2021 06:45:21","40.55","18.25"
"02/23/2021 06:50:20","37.31","18.68"
"02/23/2021 06:55:17","39.18","18.38"
"02/23/2021 07:00:16","39.31","18.39"
"02/23/2021 07:05:20","40.06","18.42"
"02/23/2021 07:10:16","41.00","18.40"
"02/23/2021 07:15:17","37.69","18.40"
